name,code,type
Latin,Latn,alphabet
Greek,Grek,alphabet
Cyrillic,Cyrl,alphabet
Armenian,Armn,alphabet
Hebrew,Hebr,abjad
Arabic,Arab,abjad
Syriac,Syrc,
Thaana,Thaa,abjad
Devanagari,Deva,abugida
Bengali,Beng,abugida
Gurmukhi,Guru,abugida
Gujarati,Gujr,abugida
Oriya,Orya,abugida
Tamil,Taml,abugida
Telugu,Telu,abugida
Kannada,Knda,abugida
Malayalam,Mlym,abugida
Sinhala,Sinh,abugida
Thai,Thai,abugida
Lao,Laoo,
Tibetan,Tibt,
Myanmar,Mymr,
Georgian,Geor,alphabet
Hangul,Hang,syllabary
Ethiopic,Ethi,ethiopic
Cherokee,Cher,
Canadian_Aboriginal,Cans,syllabary
Ogham,Ogam,
Runic,Runr,
Khmer,Khmr,
Mongolian,Mong,
Hiragana,Hira,
Katakana,Kana,
Han,Hani,logographic
Buginese,Bugi,
Balinese,Bali,
Yi,Yiii,
Tai_Le,Tale,
New_Tai_Lue,Talu,
Tifinagh,Tfng,
Vai,Vaii,
Old_Italic,Ital,
Gothic,Goth,
Deseret,Dsrt,
Cypriot,Cprt,
Ol_Chiki,Olck,
