word,frequency,lemma
@j a,17955884,
@on,12756241,
@e i,3807504,
@et t ä,3530504,
@ol i,2814364,
@myös,2647781,
@ov a t,2030709,
@se,1994533,
@mutt a,1961464,
@tai,1841052,
@ol e,1518472,
@sek ä,1474089,
@s en,1362865,
@hän,1323732,
@kuin,1311358,
@jok a,1298401,
@v oi,1229772,
@niin,1218953,
@jo,955009,
@vuonn a,875373,
@nyt,836801,
@ollut,828363,
@vain,820989,
@sit ä,728958,
@vuod en,676255,
@kuit enkin,675251,
@lisäk s i,661499,
@tul ee,660972,
@tämä,635452,
@sitt en,625664,
@si @it ä,610500,
@suo m en,603604,
@mit ä,580303,
@jot k a,567176,
@hyvin,551338,
@hän en,532261,
e @l i,510915,
@paljon,501080,
@aik an a,485858,
@tämän,460294,
@pitää,429249,
@void a an,425728,
@oliv a t,415801,
@hy vä,375752,
@täss ä,361691,
@viim e,359637,
@kerto o,283302,
@ni @it ä,280212,
@muun,271734,
@taas,268222,
@aik a,256547,
@hie man,222049,
e @d @ell e en,211651,
@san oo,203109,
@vois i,197035,
@yleen s ä,192942,
@jott a,184719,
@muut a,171227,
@all e,167954,
@joid en,162080,
@yhd en,154022,
@mikä l i,148244,
@alueell a,146269,
@suor a an,139932,
@mik s i,135589,
@maail man,134868,
tav @oitt een a,132937,
@useit a,132505,
@meid än,125841,
ne @lj ä,115501,
@san oi,111490,
@tark oit us,110677,
@silt i,108029,
@jok o,104749,
@jum al an,92703,
@par as,88580,
@ol et,87187,
@ilmeis est i,74740,
@saa t,73094,
@edes s ä,71941,
@yhteytt ä,68833,
@tehtäv ä,67048,
@metriä,65597,
@uusi en,63533,
@muutt a a,62329,
@erik seen,61538,
@saiv a t,58780,
@mahdollis est i,58284,
@kirj @oitt a a,55370,
@kesk ell ä,54709,
@mä,45471,
@pysty y,44650,
@mill ä,43592,
@oikeast a an,38518,
@sekin,37520,
hyvin @voinnin,26990,
@omist a,23041,
ko @kon ais u us,22840,
@opett aj i en,22546,
@esit t el ee,21852,
@jann e,19470,
@luon t o,18155,
@työn ant aj an,17321,
@tek @sti ä,16221,
tav @allin en,15516,
@ilmiö,15406,
@ilmais ek s i,15050,
@lopput ul os,14796,
@to d @ellakaan,14270,
@kuuk aus i,13624,
@ohj ei d en,13502,
@tuul en,13052,
@kas vu un,12382,
@kysy nt ää,11110,
@löysin,10945,
@käytt äj ä t,10426,
@jatkunut,10289,
@toiv om me,10029,
@vaar a a,8252,
@kaud ell e,8067,
@antiik in,8003,
vaik @utust en,7914,
@pakott a a,7573,
@pääsy ä,7512,
@palvel ev a t,6082,
sek @oitt a a,5557,
@anss i,4992,
@tasa- arv o a,4902,
aj a t @ust en,4761,
@aiheut t a mist a,4612,
@p l,4438,
@tuum an,4378,
@vakav an,4376,
puut @arhan,4329,
@muod ost i,3464,
@piet arsa ar en,3252,
to d @ellis uude st a,3222,
@yrittäneet,2803,
@kanna n ott o j a,2415,
@erääll ä,2395,
@rak @ast un ut,2347,
@vict ori a,2191,
entis @ellään,2142,
@meren kul un,1997,
@liik @kuvi en,1910,
rak @ennet t uun,1808,
@tarpeet to mast i,1732,
@uppo a a,1693,
@league,1678,
@väitös k irj as s a,1573,
@tilillä,1515,
@vaik ut et a an,1485,
@oy:t ä,1418,
@taist el u j a,1268,
@ikääntyess ä,1162,
@suomelt a,1155,
o p isk elu p @aik k a a,1034,
eko @log i an,819,
@riittän ee,732,
@haj oa @mis e en,706,
kaup @unkistrategi an,705,
@tel e,682,
@huul en s a,670,
hy @lätty j ä,638,
@huol @ellis emmin,557,
@vapa aeh t ois uud en,538,
@rohkais e v a a,523,
muod @ostun eit a,449,
@pyörät iet,436,
lenk @keily ä,384,
@aikuis o @pist o,349,
omal @aatuis en,315,
@pait t i,313,
@venähtäny t,290,
@laupeu d en,288,
@toist in,264,
@kirk @kaiss a,264,
@katu k aup as s a,255,
@choi,218,
@tien @vart e en,214,
@kilpail uill a,207,
@kaik @koav a t,185,
@matkailu yr itykset,183,
@merr y,179,
@vil @kais en,172,
terv ey d en @huolto a l all a,166,
keh ity s @keskust el u j a,143,
@mil en k a,137,
@taust a ry hm ä,134,
@ääriliik k eit ä,129,
suur @ennu s l asi a,128,
palv el u hak @emist o st a,122,
@nivel @kipuj a,108,
@numment a l o,102,
@re p en,92,
@hoit o l ait okset,90,
@luot to l ait okset,82,
rak @ennu s p a l o,66,
ty öm ark @kin a n eu v ot t el uj en,66,
po @mmiuh kauk s en,64,
