lang,n_words,has_freq,avg_levenshtein,levenshtein_score,avg_loss,word_accuracy,n_correct
ces,526,True,0.6806,0.7149,0.3492,0.4943,260
ell,207,True,0.6908,0.652,0.2992,0.5072,105
eng,200,True,0.35,0.7158,0.1856,0.685,137
epo,196,True,0.3163,0.8223,0.1691,0.7092,139
fra,200,True,0.655,0.627,0.3452,0.5,100
hin,200,True,0.325,0.705,0.2895,0.685,137
jap,200,False,0.31,0.7175,0.4473,0.705,141
lat,189,True,0.6878,0.6547,0.3457,0.4497,85
mar,199,True,0.2161,0.8166,0.1196,0.7889,157
rus,199,True,0.8141,0.6218,0.3937,0.397,79
spa,200,True,0.715,0.5672,0.3655,0.42,84
tel,200,True,0.305,0.8067,0.1163,0.75,150
